symbol,shortName,sector,trailingPE,forwardPE,priceToBook,debtToEquity,profitMargins,returnOnEquity,revenueGrowth,earningsGrowth
AAPL,Apple Inc.,Technology,38.16485,32.72694,43.369144,79.548,0.27152002,1.4147099,0.166,0.218
MSFT,Microsoft Corporation,Technology,23.31496,19.8828,6.9012313,30.271,0.39341998,0.34013999,0.183,0.234
GOOGL,Alphabet Inc.,Communication Services,27.401678,24.639095,9.098294,20.026,0.37919,0.38884997,0.218,0.82
AMZN,"Amazon.com, Inc.",Consumer Cyclical,29.568699,25.03361,6.0226808,53.3,0.12224,0.24285,0.166,0.748
META,"Meta Platforms, Inc.",Communication Services,24.037817,18.195951,6.8849006,35.608,0.32837,0.32930002,0.331,0.624
TSLA,"Tesla, Inc.",Consumer Cyclical,356.9189,152.82953,18.09289,18.738,0.03946,0.04901,0.158,0.083
NVDA,NVIDIA Corporation,Technology,31.147058,16.540504,26.245354,6.555,0.62966,1.14288,0.852,2.145
JPM,JP Morgan Chase & Co.,Financial Services,14.684797,14.208122,2.7001765,,0.33936,0.16465001,0.127,0.172
JNJ,Johnson & Johnson,Healthcare,29.414833,19.901407,7.524826,67.73,0.21834,0.26416,0.099,-0.529
PG,Procter & Gamble Company (The),Consumer Defensive,21.705795,20.692741,6.3290153,67.651,0.19162,0.31112,0.074,0.058
